"","ID","enumerator","date","district","sub","trader.q3","trader.q4","trader.q5","trader.q6","trader.q7","trader.q8","trader.q9","trader.q10","trader.q11","trader.q12","trader.q14","trader.q16","trader.q17","trader.q18.Bongo","trader.q18.Ghee","trader.q18.Other","trader.q19","trader.q20","trader.q21","trader.q22","trader.q23","trader.q24","trader.q25","trader.q26","trader.q27","trader.q28","trader.q29","trader.q30","trader.q31","trader.q33","trader.q35","trader.q36","trader.q37","trader.q38","trader.q39","trader.q40","trader.q41","trader.q42","trader.q43","trader.q44","trader.q45","trader.q46","trader.q47","trader.q48","trader.q49","trader.q50","trader.q51","trader.q52","trader.q53","trader.q54","trader.q55","trader.q56","trader.q57","trader.q58","trader.q59","trader.q60.1","trader.q60.2","trader.q60.3","trader.q60.4","trader.q60.5","trader.q60.96","trader.q61","trader.q62","trader.q63","trader.q64","trader.q65","trader.q66","trader.q67","trader.q68","trader.q69","trader.q70","trader.q71","trader.q72","trader.q73","trader.q74","trader.q75","trader.q76","trader.q77","trader.q78","trader.q80","trader.q81","trader.q82","trader.q83","trader.q83b","trader.q84","trader.q85","trader.q85b","trader.q86","trader.q87","trader.q88","trader.q89","trader.q91","trader.q92","trader.q93","trader.q94","trader.q95","trader.q96","trader.q97","trader.q98","trader.q99.1","trader.q99.2","trader.q99.3","trader.q99.4","trader.q100","trader.q101","trader.q102","trader.q103","shed"
"11","T_11","EN_11","12/7/2018","KIRUHURA","KENSHUNGA",32,"Male",3,"No","4",4,1,1,"KIRUHURA","KENSHUNGA",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2015","1/1/2015",60,3,1,"n/a","2","1","2","Yes","Yes",1000,1,18,300,0,0,200,100,0,0,0,0,500,1,18,800,0,0,500,300,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,1,1,3,"No",200,3,3,"Yes","Yes","Yes","10:00:00.000+03","1","4","2","n/a","n/a","n/a","n/a","n/a","50","300","3","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"12","T_12","EN_8","12/7/2018","KIRUHURA","KYESHUNGA",32,"Male",4,"Yes","n/a",3,3,2,"KIRUHURA","KENSHUNGA",1,2,"No","n/a","n/a","n/a","Yes","60","1/1/2014","1/1/2015",40,5,2,"n/a","2","3","1","No","No",1200,1,1,250,0,0,150,100,0,0,0,0,600,1,2,450,0,0,201,336,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,0,0,3,1,0,1,1,0,3,"Yes",250,3,3,"Yes","Yes","Yes","08:30:00.000+03","1","5","3","n/a","n/a","n/a","n/a","n/a","19","450","12","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","TRUE","No","n/a","n/a","n/a","SW"
"13","T_13","EN_8","12/7/2018","KIRUHURA","KENSHUNGA",22,"Male",3,"Yes","n/a",1,1,2,"KIRUHURA","KENSHUNGA",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",70,6,3,"n/a","2","2","3","No","No",1000,1,2,300,0,0,0,0,0,0,0,0,600,1,2,400,0,0,0,400,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,0,0,1,1,0,1,0,0,3,"Yes",150,1,0.8,"Yes","Yes","Yes","09:00:00.000+03","1","4","3","n/a","n/a","n/a","n/a","n/a","25","400","4","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","No","n/a","n/a","n/a","SW"
"14","T_14","EN_11","12/7/2018","KIRUHURA","KENSHUNGA",38,"Male",4,"Yes","n/a",6,1,2,"KIRUHURA","KENSHUNGA",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",80,2,2,"2","n/a","1","3","No","No",1000,1,4,15,0,5,0,0,0,0,10,0,500,1,3,30,0,10,0,0,0,15,5,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,3,0,1,1,2,0,2,"n/a",60,96,1,"Yes","Yes","No","11:00:00.000+03","n/a","n/a","n/a","1","1","3","1","3","n/a","n/a","n/a","n/a","400","30","2","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"15","T_15","EN_1","12/8/2018","KIRUHURA","KAZO",32,"Male",6,"Yes","n/a",3,4,2,"KIRUHURA","KAZO",3,3,"No","n/a","n/a","n/a","Yes","70","1/1/2014","1/1/2016",60,9,4,"2","2","1","1","Yes","No",1000,1,6,400,0,0,400,0,0,0,0,0,450,1,8,750,0,0,750,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,1,0,3,"Yes",200,4,2,"Yes","Yes","Yes","08:00:00.000-06","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"16","T_16","EN_1","12/8/2018","KIRUHURA","KAZO",28,"Male",3,"Yes","n/a",3,1,2,"KIRUHURA","KAZO",1,3,"No","n/a","n/a","n/a","Yes","80","1/1/2018","1/1/2015",50,3,0,"2","2","3","3","Yes","Yes",1000,1,10,300,0,0,300,0,0,0,0,0,600,1,10,700,0,0,700,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,2,1,0,1,1,1,3,"No",250,3,3,"Yes","Yes","Yes","07:30:00.000-06","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"17","T_17","EN_1","12/8/2018","KIRUHURA","KAZO",30,"Male",2,"No","4",5,1,2,"KIRUHURA","KAZO",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2015","1/1/2015",100,2,0,"n/a","2","1","1","Yes","Yes",1050,1,5,150,0,0,150,0,0,0,0,0,600,1,6,230,0,0,230,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,0,0,0,1,1,1,0,1,3,"No",200,3,3,"Yes","Yes","Yes","07:00:00.000-06","1","4","3","n/a","n/a","n/a","n/a","n/a","50","135","10","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","TRUE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"18","T_18","EN_1","12/8/2018","KIRUHURA","KAZO",22,"Male",2,"Yes","n/a",3,1,2,"KIRUHURA","KABO",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",100,4,3,"2","2","1","1","No","No",1150,1,4,250,0,0,250,0,0,0,0,0,600,1,6,440,0,0,440,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,1,0,1,2,0,1,0,1,3,"Yes",300,3,1,"Yes","Yes","Yes","07:30:00.000-06","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"19","T_19","EN_1","12/8/2018","KIRUHURA","KAZO",38,"Male",4,"No","3",12,1,2,"KIRUHURA","KAZO",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",100,6,6,"2","n/a","2","2","Yes","Yes",1000,96,1,25,0,0,25,0,0,0,0,0,650,96,45,0,0,0,45,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,1,0,1,1,1,1,0,1,3,"Yes",250,3,0.9,"Yes","Yes","Yes","09:30:00.000-06","n/a","n/a","n/a","1","1","4","3","3","n/a","n/a","n/a","n/a","999","40","4","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"20","T_20","EN_9","12/8/2018","KIRUHURA","KAZO",27,"Male",2,"Yes","n/a",6,1,2,"KIRUHURA","KAZO",96,3,"No","n/a","n/a","n/a","No","n/a","1/1/2011","1/1/2011",80,2,2,"2","1","3","3","No","No",1200,1,20,150,0,0,0,150,0,0,0,0,500,1,20,380,0,0,0,380,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,0,0,2,1,0,1,1,0,3,"Yes",190,1,1,"Yes","Yes","No","10:30:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","TRUE","FALSE","Yes","500000","No","Buy land","SW"
"21","T_21","EN_9","12/8/2018","KIRUHURA","KAZO",21,"Male",3,"No","3",9,1,2,"KIRUHURA","KAZO",96,2,"No","n/a","n/a","n/a","Yes","80","1/1/2014","1/1/2014",40,30,40,"n/a","2","3","3","Yes","No",1000,1,30,400,0,0,200,200,0,0,0,0,400,1,30,600,0,0,300,300,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,16,1,0,0,1,1,3,"No",240,1,1.5,"Yes","Yes","Yes","11:00:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","999","600","12","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","Yes","500000","Yes","Repair,buying jerycans","SW"
"22","T_22","EN_9","12/8/2018","KIRUHURA","KAZO",38,"Male",96,"Yes","n/a",13,2,2,"KIRUHURA","KAZO",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2012","1/1/2012",80,4,4,"1","n/a","1","3","Yes","Yes",1000,1,47,600,0,0,200,200,0,0,0,0,500,1,47,1600,0,50,300,300,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",10,2,0,15,3,0,1,1,0,3,"Yes",200,1,3,"Yes","Yes","No","11:00:00.000+03","n/a","n/a","n/a","1","1","4","3","3","n/a","n/a","n/a","n/a","100","300","4","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"23","T_23","EN_10","12/8/2018","KIRUHURA","KAZO",49,"Male",4,"Yes","n/a",13,1,2,"KIRUHURA","KAZO",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/1997","1/1/1997",90,18,70,"n/a","1","1","1","Yes","No",1150,1,1,40,0,0,0,40,0,0,0,0,500,1,1,80,0,0,0,80,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,1,0,0,1,5,2,0,1,3,"Yes",120,6,21,"Yes","Yes","Yes","09:00:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","100","80","2","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","Yes","3000000","No","Paid school fees","SW"
"24","T_24","EN_10","12/8/2018","KIRUHURA","KAZO",32,"Male",2,"Yes","n/a",6,1,2,"KIRUHURA","KAZO",1,3,"No","n/a","n/a","n/a","Yes","100","1/1/2011","1/1/2013",60,12,7,"3","3","1","3","No","Yes",900,1,14,120,0,0,0,80,0,0,40,0,500,1,18,400,0,0,0,355,0,0,45,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,2,0,0,1,0,1,1,1,3,"Yes",150,6,2,"Yes","Yes","Yes","10:30:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","Yes","4000000","Yes","To pay my suppliers","SW"
"25","T_25","EN_10","12/8/2018","KIRUHURA","KAZO",24,"Male",3,"No","1",14,3,2,"KIRUHURA","KIRUHURA",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2015","1/1/2015",80,6,2,"n/a","1","1","1","Yes","Yes",1000,1,5,400,0,0,200,0,0,0,0,0,500,1,5,600,0,0,500,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,2,0,0,1,0,1,0,1,3,"Yes",140,3,3,"Yes","Yes","Yes","10:00:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","50","120","6.4","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"26","T_26","EN_10","12/8/2018","KIRUHURA","KAZO",45,"Male",2,"Yes","n/a",15,1,2,"KIRUHURA","KAZO",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2011","1/1/2011",10,20,15,"1","1","1","1","Yes","Yes",950,1,18,600,0,0,0,200,0,0,0,0,500,1,25,900,0,0,0,500,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,2,0,1,0,2,3,"Yes",200,6,3,"Yes","Yes","Yes","11:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"27","T_27","EN_9","12/8/2018","KIRUHURA","KAZO",28,"Male",5,"Yes","n/a",3,3,7,"MBARARA","MUBENDE,BUTORONGO",96,3,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",70,4,4,"2","2","3","3","No","No",1200,1,20,400,200,0,200,0,0,0,50,0,550,1,20,500,0,0,500,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,7,1,0,0,1,0,3,"Yes",220,1,1,"Yes","Yes","No","11:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","Yes","200000","No","Health","SW"
"28","T_28","EN_5","12/8/2018","KIRUHURA","KAZO",40,"Male",3,"Yes","n/a",10,1,2,"KIRUHURA","KAZO",1,1,"No","n/a","n/a","n/a","No","n/a","n/a","1/1/2013",30,6,0,"1","n/a","1","1","No","No",700,1,10,400,0,0,200,0,0,0,0,0,400,1,6,650,0,0,999,0,0,0,0,10,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,2,0,0,1,0,1,1,2,3,"Yes",180,3,5,"Yes","Yes","Yes","08:15:00.000+03","n/a","n/a","n/a","1","1","4","3","3","n/a","n/a","n/a","n/a","50","150","8","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","Yes","5000000","Yes","Bought an improved cow","SW"
"29","T_29","EN_5","12/8/2018","KIRUHURA","KAZO",24,"Male",6,"No","4",6,3,2,"KIRUHURA","KAZO",96,2,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",30,3,3,"n/a","3","3","1","No","No",900,1,1,120,0,0,120,0,0,0,0,0,600,1,1,140,0,0,140,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,0,1,1,1,1,1,3,"Yes",200,3,1,"Yes","Yes","Yes","07:30:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","50","200","2","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"30","T_30","EN_5","12/8/2018","KIRUHURA","KAZO",20,"Male",2,"No","3",7,1,2,"KIRUHURA","KAZO",1,1,"No","n/a","n/a","n/a","No","n/a","n/a","1/1/2018",20,999,1,"1","n/a","1","1","No","No",999,1,999,999,999,999,999,0,0,0,0,0,999,96,999,999,999,999,999,999,999,999,999,999,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,1,0,0,1,0,1,1,0,3,"Yes",200,1,1,"Yes","Yes","Yes","10:30:00.000+03","n/a","n/a","n/a","1","1","4","3","3","n/a","n/a","n/a","n/a","50","100","2","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"31","T_31","EN_6","12/8/2018","KIRUHURA","KAZO TOWN COUNCIL",37,"Male",2,"Yes","n/a",4,1,2,"KIRUHURA","KAZO",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/2012","1/1/2012",20,1,2,"n/a","2","2","3","No","No",800,1,1,18,0,17,18,0,0,0,0,2.5,450,1,1,20,0,14,20,0,0,0,0,3.5,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,1,0,2,0,1,1,2,2,2,"n/a",28,3,4,"Yes","Yes","Yes","07:54:00.000+03","1","4","2","n/a","n/a","n/a","n/a","n/a","100","28","1","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"32","T_32","EN_6","12/8/2018","KIRUHURA","KAZO TOWN COUNCIL",23,"Male",4,"Yes","n/a",1,1,2,"KIRUHURA","KAZO TOWN COUNCIL",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",80,6,4,"n/a","2","2","3","No","No",1000,1,4,450,0,0,200,0,0,0,0,0,500,1,4,1000,0,0,500,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,0,0,3,"Yes",150,3,2,"Yes","Yes","Yes","07:44:00.000+03","1","4","2","n/a","n/a","n/a","n/a","n/a","50","500","2","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","TRUE","FALSE","No","n/a","n/a","n/a","SW"
"33","T_33","EN_9","12/8/2018","KIRUHURA","KAYAGA",20,"Male",2,"No","3",10,2,2,"KIRUHURA","KAYANGA",2,2,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",90,6,6,"n/a","2","1","3","No","No",1500,1,6,1600,50,0,0,0,0,0,50,0,700,1,1,700,40,0,0,0,0,0,40,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,0,0,6,1,0,1,1,1,3,"Yes",150,1,5,"Yes","Yes","No","12:00:00.000+03","1","4","3","n/a","n/a","n/a","n/a","n/a","999","700","5","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","No","n/a","n/a","n/a","SW"
